NAZWA;WK;PK;GK;GT;PT;Typ jednostki;Podtyp jednostki;Kod GUS;Kod MSWiA;Data od;Data do;Miejscowosc;Kod pocztowy;Adres
kaliski;30;07;00;0;1;Powiat;;3007000;;1999-01-01;;KALISZ;62-800;pl.åwiÍtego JÛzefa 5
BLIZAN”W;30;07;01;2;0;Gmina;Gmina wiejska;3007012;;1994-01-01;;BLIZAN”W;62-814;BlizanÛw 53
BRZEZINY;30;07;02;2;0;Gmina;Gmina wiejska;3007022;;1994-01-01;;BRZEZINY;62-874;ul.1000-lecia 8
CEK”W-KOLONIA;30;07;03;2;0;Gmina;Gmina wiejska;3007032;;1994-01-01;;CEK”W-KOLONIA;62-834;
GODZIESZE WIELKIE;30;07;04;2;0;Gmina;Gmina wiejska;3007042;;1994-01-01;;GODZIESZE WIELKIE;62-872;ul.11-go Listopada 10
KOèMINEK;30;07;05;2;0;Gmina;Gmina wiejska;3007052;;1994-01-01;;KOèMINEK;62-840;ul.Koúciuszki 21
LISK”W;30;07;06;2;0;Gmina;Gmina wiejska;3007062;;1994-01-01;;LISK”W;62-850;ul.ks. H. BliziÒskiego 56
MYCIELIN;30;07;07;2;0;Gmina;Gmina wiejska;3007072;;1994-01-01;;S£USZK”W;62-831;Korzeniew
OPAT”WEK;30;07;08;2;0;Gmina;Gmina wiejska;3007082;;1994-01-01;;OPAT”WEK;62-860;Pl.Wolnoúci 14
STAWISZYN;30;07;09;3;0;Gmina;Gmina miejsko-wiejska;3007093;;1994-01-01;;STAWISZYN;62-820;ul.Szosa Pleszewska 3
SZCZYTNIKI;30;07;10;2;0;Gmina;Gmina wiejska;3007102;;1994-01-01;;SZCZYTNIKI;62-865;
ØELAZK”W;30;07;11;2;0;Gmina;Gmina wiejska;3007112;;1994-01-01;;ØELAZK”W;62-817;
kÍpiÒski;30;08;00;0;1;Powiat;;3008000;;1999-01-01;;K PNO;63-600;ul.Koúciuszki 5
BARAN”W;30;08;01;2;0;Gmina;Gmina wiejska;3008012;;1994-01-01;;BARAN”W;63-604;ul.Rynek 21
BRALIN;30;08;02;2;0;Gmina;Gmina wiejska;3008022;;1994-01-01;;BRALIN;63-640;ul.Rynek 3
K PNO;30;08;03;3;0;Gmina;Gmina miejsko-wiejska;3008033;;1994-01-01;;K PNO;63-600;ul.Koúciuszki 5
£ KA OPATOWSKA;30;08;04;2;0;Gmina;Gmina wiejska;3008042;;1994-01-01;;£ KA OPATOWSKA;63-645;ul.Akacjowa 4
PERZ”W;30;08;05;2;0;Gmina;Gmina wiejska;3008052;;1994-01-01;;PERZ”W;63-642;PerzÛw 78
RYCHTAL;30;08;06;2;0;Gmina;Gmina wiejska;3008062;;1994-01-01;;RYCHTAL;63-630;ul.Rynek 1
TRZCINICA;30;08;07;2;0;Gmina;Gmina wiejska;3008072;;1994-01-01;;TRZCINICA;63-620;ul. Jana Paw≥a II 17
kolski;30;09;00;0;1;Powiat;;3009000;;1999-01-01;;KO£O;62-600;ul.Sienkiewicza 21/23
KO£O;30;09;01;1;0;Gmina;Gmina miejska;3009011;;1994-01-01;;KO£O;62-600;ul.Sienkiewicza 23
BABIAK;30;09;02;2;0;Gmina;Gmina wiejska;3009022;;1994-01-01;;BABIAK;62-620;PL.Wolnoúci 5
CHOD”W;30;09;03;2;0;Gmina;Gmina wiejska;3009032;;1994-01-01;;CHOD”W;62-652;ChodÛw 18
D•BIE;30;09;04;3;0;Gmina;Gmina miejsko-wiejska;3009043;;1994-01-01;;D•BIE;62-660;PL.Mickiewicza 1
GRZEGORZEW;30;09;05;2;0;Gmina;Gmina wiejska;3009052;;1994-01-01;;GRZEGORZEW;62-640;Pl.1000-lecia PP 1
K£ODAWA;30;09;06;3;0;Gmina;Gmina miejsko-wiejska;3009063;;1994-01-01;;K£ODAWA;62-650;ul.Dπbska 17
KO£O;30;09;07;2;0;Gmina;Gmina wiejska;3009072;;1994-01-01;;KO£O;62-600;ul.Sienkiewicza 21/ 23
KOåCIELEC;30;09;08;2;0;Gmina;Gmina wiejska;3009082;;1994-01-01;;KOåCIELEC;62-604;ul.Turecka 7/3
OLSZ”WKA;30;09;09;2;0;Gmina;Gmina wiejska;3009092;;1994-01-01;;OLSZ”WKA;62-641;OlszÛwka 15
OSIEK MA£Y;30;09;10;2;0;Gmina;Gmina wiejska;3009102;;1994-01-01;;OSIEK MA£Y;62-613;ul.G≥Ûwna 1
PRZEDECZ;30;09;11;3;0;Gmina;Gmina miejsko-wiejska;3009113;;1994-01-01;;PRZEDECZ;62-635;PL.Wolnoúci 1
koniÒski;30;10;00;0;1;Powiat;;3010000;;1999-01-01;;KONIN;62-510;al.1 Maja 9
GOLINA;30;10;01;3;0;Gmina;Gmina miejsko-wiejska;3010013;;1994-01-01;;GOLINA;62-590;ul.Nowa 1
GRODZIEC;30;10;02;2;0;Gmina;Gmina wiejska;3010022;;1994-01-01;;GRODZIEC;62-580;ul.G≥Ûwna 17
KAZIMIERZ BISKUPI;30;10;03;2;0;Gmina;Gmina wiejska;3010032;;1994-01-01;;KAZIMIERZ BISKUPI;62-530;Pl.Wolnoúci 1
KLECZEW;30;10;04;3;0;Gmina;Gmina miejsko-wiejska;3010043;;1994-01-01;;KLECZEW;62-540;Pl.Koúciuszki 5
KRAMSK;30;10;05;2;0;Gmina;Gmina wiejska;3010052;;1994-01-01;;KRAMSK;62-511;ul.Chopina 12
KRZYM”W;30;10;06;2;0;Gmina;Gmina wiejska;3010062;;1994-01-01;;KRZYM”W;62-513;ul.Koúcielna 2
RYCHWA£;30;10;07;3;0;Gmina;Gmina miejsko-wiejska;3010073;;1994-01-01;;RYCHWA£;62-570;PL.Wolnoúci 16
RZG”W;30;10;08;2;0;Gmina;Gmina wiejska;3010082;;1994-01-01;;RZG”W;62-586;ul.KoniÒska 8
SKULSK;30;10;09;2;0;Gmina;Gmina wiejska;3010092;;1994-01-01;;SKULSK;62-560;ul.Targowa 2
SOMPOLNO;30;10;10;3;0;Gmina;Gmina miejsko-wiejska;3010103;;1994-01-01;;SOMPOLNO;62-610;ul.11-go Listopada 15
STARE MIASTO;30;10;11;2;0;Gmina;Gmina wiejska;3010112;;1994-01-01;;STARE MIASTO;62-571;ul.G≥Ûwna 16b
åLESIN;30;10;12;3;0;Gmina;Gmina miejsko-wiejska;3010123;;1994-01-01;;åLESIN;62-561;ul.Kleczewska 15
WIERZBINEK;30;10;13;2;0;Gmina;Gmina wiejska;3010132;;1994-01-01;;WIERZBINEK;62-619;Wierzbinek 44  p-ta Sadlno
WILCZYN;30;10;14;2;0;Gmina;Gmina wiejska;3010142;;1994-01-01;;WILCZYN;62-550;ul.KoniÒska 4
koúciaÒski;30;11;00;0;1;Powiat;;3011000;;1999-01-01;;KOåCIAN;64-000;al.Koúciuszki 22
KOåCIAN;30;11;01;1;0;Gmina;Gmina miejska;3011011;;1994-01-01;;KOåCIAN;64-000;Al.Koúciuszki 22
CZEMPI—;30;11;02;3;0;Gmina;Gmina miejsko-wiejska;3011023;;1994-01-01;;CZEMPI—;64-020;ul.24-go Stycznia 25
KOåCIAN;30;11;03;2;0;Gmina;Gmina wiejska;3011032;;1994-01-01;;KOåCIAN;64-000;ul.M≥yÒska 15
KRZYWI—;30;11;04;3;0;Gmina;Gmina miejsko-wiejska;3011043;;1994-01-01;;KRZYWI—;64-010;ul.Rynek 1
åMIGIEL;30;11;05;3;0;Gmina;Gmina miejsko-wiejska;3011053;;1994-01-01;;åMIGIEL;64-030;ul.Wojska Polskiego 6
krotoszyÒski;30;12;00;0;1;Powiat;;3012000;;1999-01-01;;KROTOSZYN;63-700;ul.56 Pu≥ku Piech.Wlkp 10
SULMIERZYCE;30;12;01;1;0;Gmina;Gmina miejska;3012011;;1994-01-01;;SULMIERZYCE;63-750;Rynek 11
KOBYLIN;30;12;02;3;0;Gmina;Gmina miejsko-wiejska;3012023;;1994-01-01;;KOBYLIN;63-740;Rynek im.J.Pi≥sudskiego
KOèMIN WIELKOPOLSKI;30;12;03;3;0;Gmina;Gmina miejsko-wiejska;3012033;;1994-01-01;;KOèMIN WIELKOPOLSKI;63-720;ul.Stary Rynek 11
KROTOSZYN;30;12;04;3;0;Gmina;Gmina miejsko-wiejska;3012043;;1994-01-01;;KROTOSZYN;63-700;ul.Ko≥≥πtaja 7
ROZDRAØEW;30;12;05;2;0;Gmina;Gmina wiejska;3012052;;1994-01-01;;ROZDRAØEW;63-708;ul.Rynek 3
ZDUNY;30;12;06;3;0;Gmina;Gmina miejsko-wiejska;3012063;;1994-01-01;;ZDUNY;63-760;Rynek 2
leszczyÒski;30;13;00;0;1;Powiat;;3013000;;1999-01-01;;LESZNO;64-100;pl.Koúciuszki 4
KRZEMIENIEWO;30;13;01;2;0;Gmina;Gmina wiejska;3013012;;1994-01-01;;KRZEMIENIEWO;64-120;ul.Dworcowa 34
LIPNO;30;13;02;2;0;Gmina;Gmina wiejska;3013022;;1994-01-01;;LIPNO;64-111;ul.PowstaÒcÛw Wlkp. 9
OSIECZNA;30;13;03;3;0;Gmina;Gmina miejsko-wiejska;3013033;;1994-01-01;;OSIECZNA;64-113;ul.PowstaÒcÛw Wlkp. 6
RYDZYNA;30;13;04;3;0;Gmina;Gmina miejsko-wiejska;3013043;;1994-01-01;;RYDZYNA;64-130;ul.Rynek 1
åWI CIECHOWA;30;13;05;2;0;Gmina;Gmina wiejska;3013052;;1994-01-01;;åWI CIECHOWA;64-115;ul.U≥aÒska 4
WIJEWO;30;13;06;2;0;Gmina;Gmina wiejska;3013062;;1994-01-01;;WIJEWO;64-150;ul.Parkowa 1
W£OSZAKOWICE;30;13;07;2;0;Gmina;Gmina wiejska;3013072;;1994-01-01;;W£OSZAKOWICE;64-140;ul.KurpiÒskiego 29
miÍdzychodzki;30;14;00;0;1;Powiat;;3014000;;1999-01-01;;MI DZYCH”D;64-400;ul.17 Stycznia 143
CHRZYPSKO WIELKIE;30;14;01;2;0;Gmina;Gmina wiejska;3014012;;1994-01-01;;CHRZYPSKO WIELKIE;64-412;ul.G≥Ûwna 15
KWILCZ;30;14;02;2;0;Gmina;Gmina wiejska;3014022;;1994-01-01;;KWILCZ;64-420;ul.Kard. WyszyÒskiego 23
MI DZYCH”D;30;14;03;3;0;Gmina;Gmina miejsko-wiejska;3014033;;1994-01-01;;MI DZYCH”D;64-400;ul.Pi≥sudskiego 2
SIERAK”W;30;14;04;3;0;Gmina;Gmina miejsko-wiejska;3014043;;1994-01-01;;SIERAK”W;64-410;ul.8-go Stycznia 38
nowotomyski;30;15;00;0;1;Powiat;;3015000;;1999-01-01;;NOWY TOMYåL;64-300;ul.PoznaÒska 33
KUåLIN;30;15;01;2;0;Gmina;Gmina wiejska;3015012;;1994-01-01;;KUåLIN;64-316;ul.Emilii Szczanieckiej 4
LW”WEK;30;15;02;3;0;Gmina;Gmina miejsko-wiejska;3015023;;1994-01-01;;LW”WEK;64-310;ul.Ratuszowa 2
MIEDZICHOWO;30;15;03;2;0;Gmina;Gmina wiejska;3015032;;1994-01-01;;MIEDZICHOWO;64-361;ul.PoznaÒska 12
NOWY TOMYåL;30;15;04;3;0;Gmina;Gmina miejsko-wiejska;3015043;;1994-01-01;;NOWY TOMYåL;64-300;ul.PoznaÒska 33
OPALENICA;30;15;05;3;0;Gmina;Gmina miejsko-wiejska;3015053;;1994-01-01;;OPALENICA;64-330;ul.3-go  Maja 1
ZB•SZY—;30;15;06;3;0;Gmina;Gmina miejsko-wiejska;3015063;;1994-01-01;;ZB•SZY—;64-360;ul.Por. Øwirki 1
obornicki;30;16;00;0;1;Powiat;;3016000;;1999-01-01;;OBORNIKI;64-600;ul.11 Listopada 2a
OBORNIKI;30;16;01;3;0;Gmina;Gmina miejsko-wiejska;3016013;;1994-01-01;;OBORNIKI;64-600;ul.Marsz.J.Pi≥sudskiego 76
ROGOèNO;30;16;02;3;0;Gmina;Gmina miejsko-wiejska;3016023;;1994-01-01;;ROGOèNO;64-610;ul.Nowa 2
RYCZYW”£;30;16;03;2;0;Gmina;Gmina wiejska;3016032;;1994-01-01;;RYCZYW”£;64-630;ul.Mickiewicza 10
ostrowski;30;17;00;0;1;Powiat;;3017000;;1999-01-01;;OSTR”W WIELKOPOLSKI;63-400;al.PowstaÒcÛw Wlkp. 16
OSTR”W WIELKOPOLSKI;30;17;01;1;0;Gmina;Gmina miejska;3017011;;1994-01-01;;OSTR”W WIELKOPOLSKI;63-400;Al.PowstaÒcÛw Wlkp. 18
NOWE SKALMIERZYCE;30;17;02;3;0;Gmina;Gmina miejsko-wiejska;3017023;;1994-01-01;;SKALMIERZYCE;63-640;ul.Ostrowska 8
ODOLAN”W;30;17;03;3;0;Gmina;Gmina miejsko-wiejska;3017033;;1994-01-01;;ODOLAN”W;63-430;ul.Rynek 1
OSTR”W WIELKOPOLSKI;30;17;04;2;0;Gmina;Gmina wiejska;3017042;;1994-01-01;;OSTR”W WIELKOPOLSKI;63-400;Al.PowstaÒcÛw Wlkp. 12
PRZYGODZICE;30;17;05;2;0;Gmina;Gmina wiejska;3017052;;1994-01-01;;PRZYGODZICE;63-421;Pl.PowstaÒcÛw Wlkp. 2
RASZK”W;30;17;06;3;0;Gmina;Gmina miejsko-wiejska;3017063;;1994-01-01;;RASZK”W;63-440;ul.Rynek 32
SIEROSZEWICE;30;17;07;2;0;Gmina;Gmina wiejska;3017072;;1994-01-01;;SIEROSZEWICE;63-405;ul.Ostrowska 65
SOåNIE;30;17;08;2;0;Gmina;Gmina wiejska;3017082;;1994-01-01;;SOåNIE;63-435;ul.Wielkopolska 47
ostrzeszowski;30;18;00;0;1;Powiat;;3018000;;1999-01-01;;OSTRZESZ”W;63-500;ul.Zamkowa 31
CZAJK”W;30;18;01;2;0;Gmina;Gmina wiejska;3018012;;1994-01-01;;CZAJK”W;63-524;CzajkÛw 34
DORUCH”W;30;18;02;2;0;Gmina;Gmina wiejska;3018022;;1994-01-01;;DORUCH”W;63-505;ul.KÍpiÒska 13
GRAB”W NAD PROSN•;30;18;03;3;0;Gmina;Gmina miejsko-wiejska;3018033;;1994-01-01;;GRAB”W NAD PROSN•;63-520;ul.Kolejowa 8
KOBYLA G”RA;30;18;04;2;0;Gmina;Gmina wiejska;3018042;;1994-01-01;;KOBYLA G”RA;63-507;Pl.Wiosny LudÛw 1
KRASZEWICE;30;18;05;2;0;Gmina;Gmina wiejska;3018052;;1994-01-01;;KRASZEWICE;63-522;
MIKSTAT;30;18;06;3;0;Gmina;Gmina miejsko-wiejska;3018063;;1994-01-01;;MIKSTAT;63-510;ul.Krakowska 17
OSTRZESZ”W;30;18;07;3;0;Gmina;Gmina miejsko-wiejska;3018073;;1994-01-01;;OSTRZESZ”W;63-500;ul.Zamkowa 31
pilski;30;19;00;0;1;Powiat;;3019000;;1999-01-01;;PI£A;64-920;Al.Niepodleg≥oúci 33/35
PI£A;30;19;01;1;0;Gmina;Gmina miejska;3019011;;1994-01-01;;PI£A;64-920;Pl. St.Staszica 10
BIA£OåLIWIE;30;19;02;2;0;Gmina;Gmina wiejska;3019022;;1994-01-01;;BIA£OåLIWIE;89-340;ul.ks.Kordeckiego 1
KACZORY;30;19;03;2;0;Gmina;Gmina wiejska;3019032;;1994-01-01;;KACZORY;64-810;ul.Dworcowa 22
£OBØENICA;30;19;04;3;0;Gmina;Gmina miejsko-wiejska;3019043;;1994-01-01;;£OBØENICA;89-310;ul.Sikorskiego 7
MIASTECZKO KRAJE—SKIE;30;19;05;2;0;Gmina;Gmina wiejska;3019052;;1994-01-01;;MIASTECZKO KRAJE—SKIE;89-350;ul.Dπbrowskiego 16
SZYD£OWO;30;19;06;2;0;Gmina;Gmina wiejska;3019062;;1994-01-01;;SZYD£OWO;64-930;
UJåCIE;30;19;07;3;0;Gmina;Gmina miejsko-wiejska;3019073;;1994-01-01;;UJåCIE;64-850;Pl.Wiosny LudÛw 2
WYRZYSK;30;19;08;3;0;Gmina;Gmina miejsko-wiejska;3019083;;1994-01-01;;WYRZYSK;89-300;ul.Bydgoska 29
WYSOKA;30;19;09;3;0;Gmina;Gmina miejsko-wiejska;3019093;;1994-01-01;;WYSOKA;89-320;ul.Koúcielna 4
pleszewski;30;20;00;0;1;Powiat;;3020000;;1999-01-01;;PLESZEW;63-300;ul.PoznaÒska 79
CHOCZ;30;20;01;2;0;Gmina;Gmina wiejska;3020012;;1994-01-01;;CHOCZ;63-313;ul.Rynek 17
CZERMIN;30;20;02;2;0;Gmina;Gmina wiejska;3020022;;1994-01-01;;CZERMIN;63-304;Czermin 47
DOBRZYCA;30;20;03;2;0;Gmina;Gmina wiejska;3020032;;1994-01-01;;DOBRZYCA;63-330;ul.Rynek 14
GIZA£KI;30;20;04;2;0;Gmina;Gmina wiejska;3020042;;1994-01-01;;GIZA£KI;63-308;11.Kaliska 28
GO£UCH”W;30;20;05;2;0;Gmina;Gmina wiejska;3020052;;1994-01-01;;GO£UCH”W;63-322;ul.Lipowa 1
PLESZEW;30;20;06;3;0;Gmina;Gmina miejsko-wiejska;3020063;;1994-01-01;;PLESZEW;63-300;ul.Rynek 1
poznaÒski;30;21;00;0;1;Powiat;;3021000;;1999-01-01;;POZNA—;60-509;ul.Jackowskiego 18
LUBO—;30;21;01;1;0;Gmina;Gmina miejska;3021011;;1994-01-01;;LUBO—;62-031;Pl.E. Bojanowskiego 2
PUSZCZYKOWO;30;21;02;1;0;Gmina;Gmina miejska;3021021;;1994-01-01;;PUSZCZYKOWO;62-040;ul.Podleúna 4
BUK;30;21;03;3;0;Gmina;Gmina miejsko-wiejska;3021033;;1994-01-01;;BUK;64-320;ul.Ratuszowa 1
CZERWONAK;30;21;04;2;0;Gmina;Gmina wiejska;3021042;;1994-01-01;;CZERWONAK;62-004;ul.èrÛdlana 39
DOPIEWO;30;21;05;2;0;Gmina;Gmina wiejska;3021052;;1994-01-01;;DOPIEWO;62-070;ul.Leúna 1
KLESZCZEWO;30;21;06;2;0;Gmina;Gmina wiejska;3021062;;1994-01-01;;KLESZCZEWO;63-005;ul.PoznaÒska 4
KOMORNIKI;30;21;07;2;0;Gmina;Gmina wiejska;3021072;;1994-01-01;;KOMORNIKI;62-052;ul.Stawna 1
KOSTRZYN;30;21;08;3;0;Gmina;Gmina miejsko-wiejska;3021083;;1994-01-01;;KOSTRZYN;62-025;ul.Dworcowa 5
K”RNIK;30;21;09;3;0;Gmina;Gmina miejsko-wiejska;3021093;;1994-01-01;;K”RNIK;62-035;ul.Niepodleg≥oúci 1
MOSINA;30;21;10;3;0;Gmina;Gmina miejsko-wiejska;3021103;;1994-01-01;;MOSINA;62-050;ul.20-go Paüdziernika 1
MUROWANA GOåLINA;30;21;11;3;0;Gmina;Gmina miejsko-wiejska;3021113;;1994-01-01;;MUROWANA GOåLINA;62-095;ul.PoznaÒska 18
POBIEDZISKA;30;21;12;3;0;Gmina;Gmina miejsko-wiejska;3021123;;1994-01-01;;POBIEDZISKA;62-010;ul.T. Koúciuszki 4
ROKIETNICA;30;21;13;2;0;Gmina;Gmina wiejska;3021132;;1994-01-01;;ROKIETNICA;62-090;ul.GolÍciÒska 1
ST SZEW;30;21;14;3;0;Gmina;Gmina miejsko-wiejska;3021143;;1994-01-01;;ST SZEW;62-060;ul.PoznaÒska 11
SUCHY LAS;30;21;15;2;0;Gmina;Gmina wiejska;3021152;;1994-01-01;;SUCHY LAS;62-002;ul.Szkolna 13
SWARZ DZ;30;21;16;3;0;Gmina;Gmina miejsko-wiejska;3021163;;1994-01-01;;SWARZ DZ;62-020;ul.Rynek 1
TARNOWO PODG”RNE;30;21;17;2;0;Gmina;Gmina wiejska;3021172;;1994-01-01;;TARNOWO PODG”RNE;62-080;ul.PoznaÒska 115
rawicki;30;22;00;0;1;Powiat;;3022000;;1999-01-01;;RAWICZ;63-900;ul.Rynek 17
BOJANOWO;30;22;01;3;0;Gmina;Gmina miejsko-wiejska;3022013;;1994-01-01;;BOJANOWO;63-940;ul.Rynek 12
JUTROSIN;30;22;02;3;0;Gmina;Gmina miejsko-wiejska;3022023;;1994-01-01;;JUTROSIN;63-930;ul.Rynek 26
MIEJSKA G”RKA;30;22;03;3;0;Gmina;Gmina miejsko-wiejska;3022033;;1994-01-01;;MIEJSKA G”RKA;63-910;ul.Rynek 33
PAKOS£AW;30;22;04;2;0;Gmina;Gmina wiejska;3022042;;1994-01-01;;PAKOS£AW;63-920;ul.Kolejowa 2
RAWICZ;30;22;05;3;0;Gmina;Gmina miejsko-wiejska;3022053;;1994-01-01;;RAWICZ;63-900;ul.Marsz. J. Pi≥sudskiego 21
s≥upecki;30;23;00;0;1;Powiat;;3023000;;1999-01-01;;S£UPCA;62-400;ul.PoznaÒska 16
S£UPCA;30;23;01;1;0;Gmina;Gmina miejska;3023011;;1994-01-01;;S£UPCA;62-400;ul.Pu≥askiego 21
L•DEK;30;23;02;2;0;Gmina;Gmina wiejska;3023022;;1994-01-01;;L•DEK;62-406;ul.Rynek 26
ORCHOWO;30;23;03;2;0;Gmina;Gmina wiejska;3023032;;1994-01-01;;ORCHOWO;62-436;ul.Koúciuszki 6
OSTROWITE;30;23;04;2;0;Gmina;Gmina wiejska;3023042;;1994-01-01;;OSTROWITE;62-402;ul.Lipowa 2
POWIDZ;30;23;05;2;0;Gmina;Gmina wiejska;3023052;;1994-01-01;;POWIDZ;62-430;ul.29-go Grudnia 24
S£UPCA;30;23;06;2;0;Gmina;Gmina wiejska;3023062;;1994-01-01;;S£UPCA;62-400;ul.Sienkiewicza 16
STRZA£KOWO;30;23;07;2;0;Gmina;Gmina wiejska;3023072;;1994-01-01;;STRZA£KOWO;62-420;Al..Prym. WyszyÒskiego 6
ZAG”R”W;30;23;08;3;0;Gmina;Gmina miejsko-wiejska;3023083;;1994-01-01;;ZAG”R”W;62-410;ul.Koúcielna 4
szamotulski;30;24;00;0;1;Powiat;;3024000;;1999-01-01;;SZAMOTU£Y;64-500;ul.Wojska Polskiego 4
OBRZYCKO;30;24;01;1;0;Gmina;Gmina miejska;3024011;;1994-01-01;;OBRZYCKO;64-520;ul.Rynek 19
DUSZNIKI;30;24;02;2;0;Gmina;Gmina wiejska;3024022;;1994-01-01;;DUSZNIKI;64-550;ul.åwierczewskiego 3
KAèMIERZ;30;24;03;2;0;Gmina;Gmina wiejska;3024032;;1994-01-01;;KAèMIERZ;64-530;ul.Szamotulska 20
OBRZYCKO;30;24;04;2;0;Gmina;Gmina wiejska;3024042;;1994-01-01;;OBRZYCKO;64-520;ul.Rynek 19
OSTROR”G;30;24;05;3;0;Gmina;Gmina miejsko-wiejska;3024053;;1994-01-01;;OSTROR”G;64-560;ul.Wroniecka 14
PNIEWY;30;24;06;3;0;Gmina;Gmina miejsko-wiejska;3024063;;1994-01-01;;PNIEWY;62-045;ul.Dworcowa 37
SZAMOTU£Y;30;24;07;3;0;Gmina;Gmina miejsko-wiejska;3024073;;1994-01-01;;SZAMOTU£Y;64-500;ul.Dworcowa 26
WRONKI;30;24;08;3;0;Gmina;Gmina miejsko-wiejska;3024083;;1994-01-01;;WRONKI;64-510;ul.Ratuszowa 5
úredzki;30;25;00;0;1;Powiat;;3025000;;1999-01-01;;åRODA WIELKOPOLSKA;63-000;ul.DaszyÒskiego 5
DOMINOWO;30;25;01;2;0;Gmina;Gmina wiejska;3025012;;1994-01-01;;DOMINOWO;63-012;ul.Centralna 7
KRZYKOSY;30;25;02;2;0;Gmina;Gmina wiejska;3025022;;1994-01-01;;KRZYKOSY;63-024;ul.G≥Ûwna 37
NOWE MIASTO n. WART•;30;25;03;2;0;Gmina;Gmina wiejska;3025032;;1994-01-01;;NOWE MIASTO NAD WART•;63-040;ul.PoznaÒska 14
åRODA WIELKOPOLSKA;30;25;04;3;0;Gmina;Gmina miejsko-wiejska;3025043;;1994-01-01;;åRODA WIELKOPOLSKA;63-000;ul.DaszyÒskiego 5
ZANIEMYåL;30;25;05;2;0;Gmina;Gmina wiejska;3025052;;1994-01-01;;ZANIEMYåL;63-020;ul.åredzka 9
úremski;30;26;00;0;1;Powiat;;3026000;;1999-01-01;;åREM;63-100;ul.Mickiewicza 17
BRODNICA;30;26;01;2;0;Gmina;Gmina wiejska;3026012;;1994-01-01;;BRODNICA;63-112;Brodnica 41
DOLSK;30;26;02;3;0;Gmina;Gmina miejsko-wiejska;3026023;;1994-01-01;;DOLSK;63-140;Plac Wyzwolenia 4
KSI•Ø WIELKOPOLSKI;30;26;03;3;0;Gmina;Gmina miejsko-wiejska;3026033;;1994-01-01;;KSI•Ø WIELKOPOLSKI;63-130;ul.Wichury 11a
åREM;30;26;04;3;0;Gmina;Gmina miejsko-wiejska;3026043;;1994-01-01;;åREM;63-100;Pl.20-go Paüdziernika 1
turecki;30;27;00;0;1;Powiat;;3027000;;1999-01-01;;TUREK;62-700;ul.Kaliska 59
TUREK;30;27;01;1;0;Gmina;Gmina miejska;3027011;;1994-01-01;;TUREK;62-700;ul.Kaliska 59
BRUDZEW;30;27;02;2;0;Gmina;Gmina wiejska;3027022;;1994-01-01;;BRUDZEW;62-720;ul.Turkowska 29
DOBRA;30;27;03;3;0;Gmina;Gmina miejsko-wiejska;3027033;;1994-01-01;;DOBRA;62-730;Pl.Wojska Polskiego 10
KAW CZYN;30;27;04;2;0;Gmina;Gmina wiejska;3027042;;1994-01-01;;KAW CZYN;62-704;KawÍczyn 48
MALAN”W;30;27;05;2;0;Gmina;Gmina wiejska;3027052;;1994-01-01;;MALAN”W;62-709;ul.Turecka 16
PRZYKONA;30;27;06;2;0;Gmina;Gmina wiejska;3027062;;1994-01-01;;PRZYKONA;62-731;ul.Szkolna 7
TULISZK”W;30;27;07;3;0;Gmina;Gmina miejsko-wiejska;3027073;;1994-01-01;;TULISZK”W;62-740;Pl.PowstaÒcÛw Styczniowych 1
TUREK;30;27;08;2;0;Gmina;Gmina wiejska;3027082;;1994-01-01;;TUREK;62-700;ul.Ogrodowa 4
W£ADYS£AW”W;30;27;09;2;0;Gmina;Gmina wiejska;3027092;;1994-01-01;;W£ADYS£AW”W;62-710;ul.Rynek 43
wπgrowiecki;30;28;00;0;1;Powiat;;3028000;;1999-01-01;;W•GROWIEC;62-100;ul.Koúciuszki 15
W•GROWIEC;30;28;01;1;0;Gmina;Gmina miejska;3028011;;1994-01-01;;W•GROWIEC;62-100;ul.Koúciuszki 15
DAMAS£AWEK;30;28;02;2;0;Gmina;Gmina wiejska;3028022;;1994-01-01;;DAMAS£AWEK;62-110;ul.Rynek 8
GO£A—CZ;30;28;03;3;0;Gmina;Gmina miejsko-wiejska;3028033;;1994-01-01;;GO£A—CZ;62-130;ul.P. Kowalika 2
MIEåCISKO;30;28;04;2;0;Gmina;Gmina wiejska;3028042;;1994-01-01;;MIEåCISKO;62-290;Pl.PowstaÒcÛw Wielkopolskich
SKOKI;30;28;05;3;0;Gmina;Gmina miejsko-wiejska;3028053;;1994-01-01;;SKOKI;62-085;ul.Ciastowicza 11
WAPNO;30;28;06;2;0;Gmina;Gmina wiejska;3028062;;1994-01-01;;WAPNO;62-120;ul.åwierczewskiego 1 A
W•GROWIEC;30;28;07;2;0;Gmina;Gmina wiejska;3028072;;1994-01-01;;W•GROWIEC;62-100;ul.Cysterska 22
wolsztyÒski;30;29;00;0;1;Powiat;;3029000;;1999-01-01;;WOLSZTYN;64-200;ul.5 Stycznia 5
PRZEM T;30;29;01;2;0;Gmina;Gmina wiejska;3029012;;1994-01-01;;PRZEM T;64-234;ul.JagielloÒska 8
SIEDLEC;30;29;02;2;0;Gmina;Gmina wiejska;3029022;;1994-01-01;;SIEDLEC;64-212;ul.ZbπszyÒska 17
WOLSZTYN;30;29;03;3;0;Gmina;Gmina miejsko-wiejska;3029033;;1994-01-01;;WOLSZTYN;64-200;ul.Rynek 1
